week,Load: Practice,Load: S&C,Load: Competition,Sleep,Mood_delta
24,0.0,0.0,0.0,53.5,1.5
4,0.0,148.0,0.0,74.85714285714286,0.4285714285714164
10,260.0,97.0,0.0,41.166666666666664,-12.766666666666666
24,110.0,14.0,464.0,49.0,3.6000000000000014
4,0.0,0.0,0.0,97.0,0.0
24,319.0,15.0,346.0,68.14285714285714,2.19047619047619
9,244.0,144.0,0.0,53.2,-8.399999999999999
10,228.0,153.0,0.0,87.75,1.5
10,0.0,0.0,0.0,62.0,0.0
12,552.0,165.0,207.0,60.42857142857143,5.0
2,499.0,0.0,0.0,84.5,8.5
15,682.0,56.0,0.0,42.8,7.285714285714285
40,0.0,0.0,0.0,51.5,11.392857142857146
6,0.0,0.0,0.0,91.85714285714286,-6.285714285714278
5,0.0,0.0,0.0,51.666666666666664,-44.5
17,431.0,117.0,0.0,83.5,4.047619047619037
5,0.0,0.0,0.0,76.2,8.857142857142854
28,0.0,6.0,0.0,52.0,5.571428571428569
21,0.0,29.0,0.0,46.75,-6.857142857142861
3,480.0,10.0,0.0,62.0,-8.07142857142857
23,476.0,30.0,0.0,55.833333333333336,-2.0
5,0.0,0.0,0.0,78.8,2.0714285714285694
13,606.0,114.0,0.0,52.5,-13.166666666666664
8,507.0,89.0,0.0,50.0,6.714285714285715
15,600.0,72.0,0.0,75.33333333333333,-4.5
10,371.0,56.0,0.0,27.75,10.107142857142854
46,506.0,0.0,721.0,71.0,-0.3333333333333286
45,483.0,0.0,205.0,51.0,-9.607142857142854
1,0.0,0.0,0.0,59.0,-2.0
16,56.0,64.0,327.0,78.0,-1.5714285714285836
17,202.0,65.0,0.0,48.666666666666664,6.0
39,0.0,0.0,0.0,57.333333333333336,-2.5
14,469.0,194.0,0.0,65.4,4.799999999999997
14,538.0,257.0,0.0,51.333333333333336,-6.857142857142861
18,108.0,121.0,0.0,86.25,-4.166666666666671
1,220.0,0.0,0.0,58.666666666666664,7.000000000000007
4,218.0,114.0,0.0,66.57142857142857,4.142857142857146
2,0.0,0.0,0.0,72.42857142857143,-24.214285714285715
2,0.0,0.0,0.0,64.0,-12.261904761904766
9,336.0,114.0,0.0,44.833333333333336,8.57142857142857
18,228.0,58.0,0.0,80.0,-4.19047619047619
23,359.0,27.0,0.0,63.666666666666664,2.0
46,432.0,0.0,723.0,52.0,0.8571428571428612
17,0.0,49.0,0.0,64.0,-3.857142857142861
2,0.0,0.0,0.0,77.4,1.4285714285714306
16,0.0,0.0,479.0,69.33333333333333,-15.000000000000007
13,628.0,78.0,0.0,86.0,6.75
19,0.0,154.0,0.0,51.0,8.142857142857146
9,0.0,0.0,0.0,83.75,1.4285714285714306
10,380.0,89.0,0.0,62.0,-3.0714285714285694
18,164.0,133.0,0.0,41.0,-18.950000000000003
4,573.0,111.0,0.0,73.0,-0.3333333333333286
26,0.0,0.0,0.0,59.0,-0.8333333333333286
4,243.0,222.0,0.0,53.5,5.333333333333329
14,558.0,167.0,0.0,29.571428571428573,5.214285714285715
4,0.0,0.0,0.0,73.66666666666667,6.666666666666671
12,0.0,0.0,0.0,84.0,-1.5714285714285694
20,0.0,80.0,0.0,57.0,0.2857142857142847
8,508.0,99.0,0.0,61.0,2.2857142857142847
29,606.0,162.0,0.0,91.5,11.0
14,582.0,184.0,0.0,49.285714285714285,3.5714285714285694
41,0.0,0.0,0.0,44.5,-1.8095238095238102
46,464.0,0.0,623.0,80.66666666666667,-3.8333333333333286
1,0.0,0.0,0.0,46.833333333333336,8.833333333333336
10,398.0,95.0,0.0,34.0,-1.857142857142854
17,0.0,0.0,0.0,74.0,8.333333333333336
5,459.0,109.0,0.0,66.14285714285714,15.428571428571423
4,0.0,0.0,0.0,69.0,-20.714285714285708
2,398.0,86.0,0.0,50.714285714285715,1.2380952380952337
11,0.0,0.0,0.0,66.75,3.25
7,0.0,0.0,0.0,84.0,1.7142857142857082
45,571.0,0.0,0.0,61.5,4.833333333333329
25,0.0,0.0,0.0,69.0,-13.0
18,211.0,48.0,0.0,44.25,-0.7142857142857153
6,0.0,0.0,0.0,81.33333333333333,18.83333333333333
23,0.0,0.0,0.0,61.5,-4.0
45,371.0,0.0,216.0,58.0,-6.333333333333336
8,467.0,157.0,0.0,82.8,-6.133333333333326
3,672.0,188.0,0.0,58.142857142857146,-9.57142857142857
46,265.0,0.0,274.0,92.83333333333333,8.033333333333331
4,0.0,108.0,0.0,46.42857142857143,-0.6857142857142833
15,0.0,0.0,0.0,82.75,-2.2857142857142776
13,0.0,0.0,0.0,80.0,-0.4000000000000057
24,308.0,60.0,0.0,85.33333333333333,-23.0
8,0.0,0.0,0.0,56.0,11.75
27,0.0,0.0,0.0,53.4,8.0
11,0.0,0.0,0.0,64.5,4.333333333333336
46,0.0,0.0,0.0,64.14285714285714,5.285714285714285
2,586.0,175.0,0.0,58.0,-5.714285714285715
18,0.0,0.0,0.0,81.0,4.0
45,217.0,0.0,202.0,77.0,2.8333333333333286
2,681.0,94.0,0.0,61.142857142857146,-1.095238095238102
11,0.0,125.0,0.0,58.5,-10.857142857142861
5,0.0,90.0,0.0,78.42857142857143,-4.714285714285708
15,0.0,0.0,0.0,58.285714285714285,12.880952380952372
2,438.0,32.0,0.0,48.833333333333336,3.0
1,0.0,0.0,0.0,85.2,18.900000000000006
1,0.0,0.0,0.0,56.142857142857146,-1.2857142857142847
6,0.0,118.0,0.0,80.25,6.25
29,0.0,0.0,0.0,48.0,-8.371428571428567
11,0.0,0.0,0.0,53.25,-6.571428571428569
25,418.0,0.0,734.0,56.285714285714285,-2.885714285714286
11,0.0,0.0,0.0,81.75,0.1428571428571388
12,0.0,0.0,0.0,46.0,-1.0
40,0.0,0.0,0.0,63.5,5.0
3,0.0,0.0,0.0,60.166666666666664,5.714285714285715
7,0.0,0.0,0.0,69.0,-23.619047619047628
6,243.0,124.0,0.0,48.333333333333336,-14.833333333333336
24,446.0,0.0,492.0,36.6,-9.285714285714285
18,0.0,0.0,0.0,63.0,4.0
12,710.0,11.0,195.0,74.75,10.75
11,0.0,67.0,0.0,70.71428571428571,-18.714285714285708
19,0.0,30.0,0.0,80.75,-2.642857142857139
13,633.0,168.0,0.0,54.42857142857143,-9.42857142857143
2,0.0,0.0,0.0,85.42857142857143,15.892857142857139
4,0.0,0.0,0.0,71.0,0.0
19,0.0,54.0,0.0,62.57142857142857,11.42857142857143
9,633.0,152.0,0.0,72.5,-3.714285714285708
3,0.0,0.0,0.0,68.42857142857143,7.0
3,0.0,0.0,0.0,55.57142857142857,6.114285714285707
28,437.0,125.0,0.0,85.25,20.285714285714292
16,297.0,118.0,358.0,55.5,-6.5
25,431.0,112.0,0.0,80.0,1.8333333333333428
12,565.0,189.0,201.0,67.57142857142857,17.42857142857143
23,0.0,0.0,0.0,51.0,10.5
27,0.0,0.0,0.0,58.0,6.928571428571431
18,0.0,176.0,0.0,77.42857142857143,14.0
16,252.0,65.0,552.0,65.85714285714286,-0.4285714285714306
2,0.0,0.0,0.0,79.71428571428571,7.428571428571431
17,0.0,0.0,0.0,63.666666666666664,-13.428571428571416
45,48.0,0.0,0.0,35.0,10.0
13,310.0,158.0,0.0,79.66666666666667,6.666666666666671
17,205.0,17.0,0.0,41.8,-7.833333333333336
3,0.0,0.0,0.0,88.0,42.0
4,454.0,36.0,0.0,54.6,-8.028571428571432
13,0.0,0.0,0.0,68.25,8.0
45,418.0,0.0,499.0,49.285714285714285,-7.714285714285715
44,671.0,0.0,214.0,38.0,15.857142857142854
2,895.0,0.0,0.0,70.75,3.75
7,163.0,184.0,0.0,61.0,17.500000000000007
9,0.0,0.0,0.0,46.25,-1.4166666666666643
4,0.0,0.0,0.0,82.0,3.357142857142861
14,608.0,84.0,0.0,86.83333333333333,-1.3333333333333286
31,384.0,67.0,0.0,45.333333333333336,15.0
7,0.0,0.0,0.0,65.75,-3.285714285714292
31,0.0,70.0,0.0,54.0,35.0
19,0.0,133.0,0.0,55.666666666666664,25.866666666666667
9,650.0,163.0,0.0,47.0,4.142857142857146
9,0.0,0.0,0.0,67.0,-5.083333333333336
8,154.0,79.0,0.0,89.0,0.75
28,280.0,86.0,0.0,36.0,-15.5
46,361.0,0.0,510.0,73.5,2.0
13,332.0,23.0,0.0,31.333333333333332,-5.928571428571431
5,0.0,0.0,0.0,59.5,-7.5
3,0.0,0.0,0.0,82.5,3.0
4,0.0,0.0,0.0,80.0,-10.5
4,540.0,67.0,0.0,47.285714285714285,0.0
23,721.0,0.0,0.0,44.75,-0.4285714285714235
11,76.0,0.0,0.0,53.0,-20.0
10,0.0,0.0,0.0,52.285714285714285,1.3333333333333357
19,0.0,196.0,0.0,73.14285714285714,-1.7142857142857224
16,275.0,0.0,627.0,54.333333333333336,-7.166666666666671
5,300.0,55.0,0.0,46.666666666666664,-3.7333333333333343
1,0.0,0.0,0.0,60.4,-10.200000000000003
5,0.0,0.0,0.0,49.25,1.0357142857142847
5,197.0,123.0,0.0,54.0,3.8333333333333357
46,365.0,0.0,213.0,62.0,0.6666666666666714
25,0.0,0.0,0.0,36.166666666666664,-4.0
2,647.0,55.0,0.0,62.285714285714285,-0.5714285714285694
15,615.0,265.0,0.0,68.66666666666667,13.857142857142847
2,0.0,61.0,0.0,77.0,-12.142857142857139
12,0.0,0.0,0.0,73.33333333333333,3.8333333333333357
8,0.0,0.0,0.0,48.0,5.5
25,0.0,0.0,0.0,59.714285714285715,-5.357142857142854
13,266.0,167.0,0.0,51.0,-40.33333333333333
23,313.0,176.0,0.0,81.85714285714286,47.99999999999999
1,0.0,0.0,0.0,59.0,-17.75
9,577.0,109.0,0.0,60.57142857142857,4.857142857142854
24,250.0,120.0,0.0,50.2,3.25714285714286
5,391.0,109.0,0.0,43.8,-12.0
27,0.0,238.0,0.0,52.666666666666664,16.333333333333336
1,0.0,0.0,0.0,67.5,-11.5
9,0.0,0.0,0.0,60.666666666666664,-5.5714285714285765
10,0.0,0.0,0.0,52.6,-5.049999999999997
1,0.0,0.0,0.0,58.75,4.75
13,0.0,0.0,0.0,74.66666666666667,27.666666666666664
15,658.0,141.0,0.0,52.333333333333336,2.5714285714285694
46,544.0,0.0,561.0,53.0,3.1999999999999957
30,285.0,137.0,208.0,82.5,-4.0
16,0.0,0.0,0.0,64.6,1.0
15,331.0,162.0,0.0,50.6,-6.733333333333334
18,128.0,114.0,0.0,51.42857142857143,-2.5714285714285694
16,0.0,0.0,0.0,47.0,-12.5
22,0.0,24.0,0.0,52.5,1.5
42,405.0,171.0,0.0,32.0,-1.9333333333333371
5,492.0,0.0,0.0,72.33333333333333,-0.3333333333333428
15,0.0,16.0,0.0,79.28571428571429,-3.5714285714285694
1,302.0,0.0,0.0,58.5,-4.75
2,0.0,0.0,0.0,37.333333333333336,-8.900000000000006
3,0.0,53.0,0.0,80.28571428571429,19.714285714285722
3,0.0,0.0,0.0,79.8,-0.2857142857142918
16,0.0,0.0,0.0,58.8,0.5
8,0.0,0.0,0.0,82.33333333333333,11.733333333333341
18,0.0,0.0,0.0,47.5,-14.5
5,0.0,0.0,0.0,83.0,-31.0
1,0.0,0.0,0.0,81.42857142857143,3.857142857142847
8,0.0,0.0,0.0,42.2,8.266666666666666
17,0.0,0.0,0.0,82.0,11.5
29,0.0,41.0,0.0,53.0,7.93333333333333
24,380.0,0.0,0.0,42.833333333333336,1.0
10,0.0,0.0,0.0,83.4,2.142857142857139
14,279.0,136.0,0.0,68.75,32.58333333333333
7,181.0,216.0,0.0,72.0,-4.25
5,455.0,110.0,0.0,65.28571428571429,0.4285714285714235
7,0.0,0.0,0.0,44.6,-6.100000000000001
19,0.0,81.0,0.0,75.0,-25.714285714285722
15,0.0,0.0,0.0,70.4,-4.628571428571433
8,0.0,0.0,0.0,61.0,12.5
15,0.0,0.0,0.0,48.25,8.785714285714285
13,366.0,138.0,0.0,51.333333333333336,9.571428571428577
15,575.0,173.0,0.0,67.75,7.700000000000003
16,56.0,17.0,135.0,52.5,0.3999999999999986
22,644.0,31.0,0.0,51.0,0.5714285714285694
6,0.0,0.0,0.0,41.833333333333336,6.75
10,0.0,0.0,0.0,69.5,-8.0
22,494.0,100.0,0.0,66.66666666666667,7.000000000000007
16,178.0,83.0,302.0,85.42857142857143,3.892857142857139
8,0.0,0.0,0.0,78.66666666666667,6.5714285714285765
3,0.0,0.0,0.0,89.0,8.857142857142861
23,283.0,197.0,0.0,60.0,-2.107142857142854
3,0.0,99.0,0.0,48.6,-2.4571428571428555
2,0.0,128.0,0.0,48.0,-3.642857142857146
2,0.0,0.0,0.0,58.6,-1.8999999999999986
9,517.0,45.0,0.0,28.142857142857142,-10.69047619047619
18,0.0,75.0,0.0,59.5,-15.714285714285708
21,0.0,12.0,0.0,27.0,-8.0
5,0.0,0.0,0.0,69.33333333333333,-23.833333333333336
39,0.0,0.0,0.0,36.0,-10.25
5,372.0,170.0,0.0,82.0,0.5
16,261.0,81.0,596.0,94.0,17.0
6,286.0,113.0,0.0,46.2,17.857142857142854
1,0.0,0.0,0.0,80.0,3.75
26,0.0,0.0,0.0,45.5,0.20000000000000284
9,631.0,97.0,0.0,63.0,0.13333333333332575
12,0.0,0.0,0.0,53.0,-6.238095238095234
3,0.0,0.0,0.0,63.166666666666664,-18.33333333333333
1,382.0,0.0,0.0,51.666666666666664,1.3333333333333357
9,0.0,0.0,0.0,19.0,-74.4
1,0.0,0.0,0.0,80.0,8.57142857142857
3,290.0,224.0,0.0,45.5,1.9761904761904816
12,474.0,214.0,203.0,62.5,-1.25
4,211.0,200.0,0.0,61.0,1.357142857142854
4,0.0,0.0,0.0,57.4,-8.285714285714285
47,87.0,0.0,0.0,56.0,-4.142857142857146
14,0.0,0.0,0.0,74.71428571428571,4.095238095238095
8,541.0,83.0,0.0,69.5,15.999999999999993
13,486.0,271.0,0.0,72.28571428571429,-5.857142857142861
11,0.0,0.0,0.0,74.75,0.8333333333333357
2,0.0,0.0,0.0,34.0,-26.0
22,110.0,104.0,0.0,33.75,-9.952380952380949
15,359.0,100.0,0.0,59.0,-3.049999999999997
17,184.0,46.0,0.0,91.0,-1.4761904761904674
7,328.0,149.0,0.0,72.42857142857143,-19.714285714285715
16,205.0,12.0,0.0,87.5,5.428571428571431
16,238.0,112.0,457.0,48.857142857142854,5.857142857142854
8,327.0,275.0,0.0,58.25,-7.666666666666671
12,0.0,0.0,0.0,59.166666666666664,2.0
1,318.0,0.0,0.0,49.25,30.0
47,0.0,0.0,0.0,51.666666666666664,-0.17142857142857082
7,389.0,274.0,0.0,71.33333333333333,-5.166666666666671
29,153.0,0.0,0.0,51.0,14.333333333333336
35,982.0,0.0,0.0,66.0,3.0
17,0.0,0.0,0.0,58.0,9.5
17,353.0,175.0,0.0,77.85714285714286,-7.142857142857139
30,0.0,0.0,0.0,52.0,13.799999999999997
7,0.0,0.0,0.0,61.0,-8.333333333333329
28,0.0,0.0,0.0,58.0,-6.100000000000001
8,0.0,0.0,0.0,79.0,-15.0
1,233.0,22.0,0.0,48.0,3.4285714285714306
24,447.0,15.0,0.0,76.66666666666667,2.8333333333333286
3,417.0,102.0,0.0,58.57142857142857,-9.285714285714285
24,0.0,0.0,0.0,60.0,4.0
14,0.0,0.0,0.0,81.66666666666667,-1.1428571428571388
45,275.0,0.0,128.0,83.0,-6.866666666666674
45,358.0,0.0,407.0,53.4,-6.733333333333334
15,0.0,0.0,0.0,66.0,11.166666666666664
27,0.0,0.0,0.0,60.333333333333336,1.7999999999999972
30,0.0,47.0,0.0,60.0,-8.583333333333329
26,0.0,92.0,0.0,66.33333333333333,-14.857142857142854
12,466.0,127.0,219.0,47.5,-0.2857142857142847
1,0.0,0.0,0.0,69.0,6.142857142857139
7,370.0,107.0,0.0,45.333333333333336,-0.8333333333333286
1,0.0,0.0,0.0,64.85714285714286,0.4285714285714306
25,0.0,0.0,0.0,55.5,-2.5
