week,Load: Practice,Load: S&C,Load: Competition,Sleep,Motivation
24,0.0,0.0,0.0,53.5,65.0
4,0.0,148.0,0.0,74.85714285714286,74.42857142857143
10,260.0,97.0,0.0,41.166666666666664,31.833333333333332
24,110.0,14.0,464.0,49.0,56.2
4,0.0,0.0,0.0,97.0,100.0
29,0.0,80.0,0.0,57.0,66.0
24,319.0,15.0,346.0,68.14285714285714,76.71428571428571
9,244.0,144.0,0.0,53.2,68.0
10,228.0,153.0,0.0,87.75,72.5
34,279.0,0.0,228.0,78.0,82.0
10,0.0,0.0,0.0,62.0,100.0
0,0.0,68.0,0.0,67.16666666666667,59.5
12,552.0,165.0,207.0,60.42857142857143,51.285714285714285
2,499.0,0.0,0.0,84.5,86.0
44,874.0,0.0,257.0,70.0,64.0
15,682.0,56.0,0.0,42.8,39.2
14,251.0,199.0,0.0,50.333333333333336,48.0
40,0.0,0.0,0.0,51.5,33.714285714285715
6,0.0,0.0,0.0,91.85714285714286,84.85714285714286
0,0.0,0.0,0.0,49.0,62.0
5,0.0,0.0,0.0,51.666666666666664,40.0
17,431.0,117.0,0.0,83.5,87.66666666666667
5,0.0,0.0,0.0,76.2,64.42857142857143
28,0.0,6.0,0.0,52.0,28.142857142857142
21,0.0,29.0,0.0,46.75,26.714285714285715
3,480.0,10.0,0.0,62.0,43.142857142857146
23,476.0,30.0,0.0,55.833333333333336,60.0
5,0.0,0.0,0.0,78.8,71.0
46,0.0,0.0,0.0,90.0,92.33333333333333
13,606.0,114.0,0.0,52.5,48.833333333333336
8,507.0,89.0,0.0,50.0,39.42857142857143
15,600.0,72.0,0.0,75.33333333333333,86.66666666666667
10,371.0,56.0,0.0,27.75,27.25
46,506.0,0.0,721.0,71.0,46.0
45,483.0,0.0,205.0,51.0,32.5
1,0.0,0.0,0.0,59.0,83.0
16,56.0,64.0,327.0,78.0,96.85714285714286
17,202.0,65.0,0.0,48.666666666666664,42.57142857142857
39,0.0,0.0,0.0,57.333333333333336,63.0
14,469.0,194.0,0.0,65.4,60.2
14,538.0,257.0,0.0,51.333333333333336,29.857142857142858
18,108.0,121.0,0.0,86.25,89.0
1,220.0,0.0,0.0,58.666666666666664,70.16666666666667
4,218.0,114.0,0.0,66.57142857142857,47.42857142857143
2,0.0,0.0,0.0,72.42857142857143,60.57142857142857
2,0.0,0.0,0.0,64.0,49.666666666666664
9,336.0,114.0,0.0,44.833333333333336,39.857142857142854
18,228.0,58.0,0.0,80.0,80.71428571428571
23,359.0,27.0,0.0,63.666666666666664,49.0
46,432.0,0.0,723.0,52.0,49.57142857142857
17,0.0,49.0,0.0,64.0,30.666666666666668
2,0.0,0.0,0.0,77.4,67.0
16,0.0,0.0,479.0,69.33333333333333,61.0
13,628.0,78.0,0.0,86.0,91.5
19,0.0,154.0,0.0,51.0,25.571428571428573
44,499.0,0.0,0.0,62.0,74.0
9,0.0,0.0,0.0,83.75,70.42857142857143
10,380.0,89.0,0.0,62.0,54.0
18,164.0,133.0,0.0,41.0,67.0
4,573.0,111.0,0.0,73.0,94.0
26,0.0,0.0,0.0,59.0,42.0
22,90.0,145.0,0.0,58.5,92.0
4,243.0,222.0,0.0,53.5,69.5
14,558.0,167.0,0.0,29.571428571428573,39.0
4,0.0,0.0,0.0,73.66666666666667,99.0
12,0.0,0.0,0.0,84.0,73.28571428571429
20,0.0,80.0,0.0,57.0,54.714285714285715
44,623.0,0.0,126.0,74.66666666666667,73.33333333333333
8,508.0,99.0,0.0,61.0,59.57142857142857
29,606.0,162.0,0.0,91.5,94.0
14,582.0,184.0,0.0,49.285714285714285,40.857142857142854
41,0.0,0.0,0.0,44.5,43.666666666666664
46,464.0,0.0,623.0,80.66666666666667,100.0
1,0.0,0.0,0.0,46.833333333333336,61.5
10,398.0,95.0,0.0,34.0,44.285714285714285
17,0.0,0.0,0.0,74.0,50.0
5,459.0,109.0,0.0,66.14285714285714,68.71428571428571
4,0.0,0.0,0.0,69.0,75.0
0,0.0,0.0,0.0,48.666666666666664,68.66666666666667
2,398.0,86.0,0.0,50.714285714285715,52.0
11,0.0,0.0,0.0,66.75,51.0
7,0.0,0.0,0.0,84.0,74.42857142857143
7,0.0,0.0,0.0,77.0,68.0
45,571.0,0.0,0.0,61.5,64.5
25,0.0,0.0,0.0,69.0,100.0
18,211.0,48.0,0.0,44.25,22.0
25,680.0,0.0,0.0,58.0,66.0
6,0.0,0.0,0.0,81.33333333333333,47.333333333333336
0,0.0,0.0,0.0,62.25,55.0
23,0.0,0.0,0.0,61.5,100.0
45,371.0,0.0,216.0,58.0,21.666666666666668
44,0.0,0.0,0.0,29.0,0.0
8,467.0,157.0,0.0,82.8,89.33333333333333
3,672.0,188.0,0.0,58.142857142857146,54.42857142857143
46,265.0,0.0,274.0,92.83333333333333,93.5
4,0.0,108.0,0.0,46.42857142857143,55.142857142857146
15,0.0,0.0,0.0,82.75,71.85714285714286
13,0.0,0.0,0.0,80.0,77.0
12,0.0,0.0,0.0,47.0,68.0
24,308.0,60.0,0.0,85.33333333333333,62.142857142857146
8,0.0,0.0,0.0,56.0,64.25
27,0.0,0.0,0.0,53.4,57.666666666666664
11,0.0,0.0,0.0,64.5,28.5
24,0.0,0.0,0.0,65.6,66.0
46,0.0,0.0,0.0,64.14285714285714,63.0
2,586.0,175.0,0.0,58.0,80.57142857142857
0,0.0,0.0,0.0,78.33333333333333,66.0
18,0.0,0.0,0.0,81.0,77.0
45,217.0,0.0,202.0,77.0,73.5
2,681.0,94.0,0.0,61.142857142857146,61.0
11,0.0,125.0,0.0,58.5,41.57142857142857
5,0.0,90.0,0.0,78.42857142857143,72.85714285714286
15,0.0,0.0,0.0,58.285714285714285,69.57142857142857
2,438.0,32.0,0.0,48.833333333333336,72.0
1,0.0,0.0,0.0,85.2,55.0
25,0.0,0.0,0.0,47.666666666666664,70.66666666666667
1,0.0,0.0,0.0,56.142857142857146,89.42857142857143
6,0.0,118.0,0.0,80.25,78.75
29,0.0,0.0,0.0,48.0,41.6
11,0.0,0.0,0.0,53.25,48.42857142857143
25,418.0,0.0,734.0,56.285714285714285,57.142857142857146
11,0.0,0.0,0.0,81.75,78.0
12,0.0,0.0,0.0,46.0,67.0
40,0.0,0.0,0.0,63.5,70.0
3,0.0,0.0,0.0,60.166666666666664,66.28571428571429
7,0.0,0.0,0.0,69.0,61.333333333333336
22,0.0,0.0,0.0,60.0,100.0
6,243.0,124.0,0.0,48.333333333333336,66.0
24,446.0,0.0,492.0,36.6,38.142857142857146
18,0.0,0.0,0.0,63.0,64.0
12,710.0,11.0,195.0,74.75,82.25
11,0.0,67.0,0.0,70.71428571428571,28.142857142857142
19,0.0,30.0,0.0,80.75,78.5
13,633.0,168.0,0.0,54.42857142857143,43.714285714285715
2,0.0,0.0,0.0,85.42857142857143,100.0
0,0.0,0.0,0.0,62.0,48.0
4,0.0,0.0,0.0,71.0,68.0
19,0.0,54.0,0.0,62.57142857142857,51.714285714285715
9,633.0,152.0,0.0,72.5,53.714285714285715
3,0.0,0.0,0.0,68.42857142857143,92.71428571428571
3,0.0,0.0,0.0,55.57142857142857,96.85714285714286
28,437.0,125.0,0.0,85.25,82.85714285714286
16,297.0,118.0,358.0,55.5,52.5
25,431.0,112.0,0.0,80.0,81.16666666666667
28,363.0,187.0,0.0,76.5,87.5
10,0.0,0.0,0.0,46.0,31.333333333333332
12,565.0,189.0,201.0,67.57142857142857,75.28571428571429
23,0.0,0.0,0.0,51.0,55.0
0,0.0,0.0,0.0,69.8,51.0
27,0.0,0.0,0.0,58.0,40.5
18,0.0,176.0,0.0,77.42857142857143,84.42857142857143
16,252.0,65.0,552.0,65.85714285714286,70.42857142857143
2,0.0,0.0,0.0,79.71428571428571,88.28571428571429
17,0.0,0.0,0.0,63.666666666666664,65.71428571428571
45,48.0,0.0,0.0,35.0,47.0
20,0.0,46.0,0.0,48.4,60.6
13,310.0,158.0,0.0,79.66666666666667,88.33333333333333
17,205.0,17.0,0.0,41.8,22.142857142857142
44,506.0,0.0,134.0,4.0,53.0
3,0.0,0.0,0.0,88.0,89.5
0,0.0,0.0,0.0,20.0,28.0
4,454.0,36.0,0.0,54.6,22.0
13,0.0,0.0,0.0,68.25,46.75
25,0.0,0.0,0.0,100.0,96.0
45,418.0,0.0,499.0,49.285714285714285,62.0
44,671.0,0.0,214.0,38.0,38.714285714285715
2,895.0,0.0,0.0,70.75,90.25
7,163.0,184.0,0.0,61.0,82.5
9,0.0,0.0,0.0,46.25,59.75
4,0.0,0.0,0.0,82.0,79.25
14,608.0,84.0,0.0,86.83333333333333,89.16666666666667
44,633.0,0.0,197.0,57.0,65.0
31,384.0,67.0,0.0,45.333333333333336,35.833333333333336
7,0.0,0.0,0.0,65.75,68.71428571428571
31,0.0,70.0,0.0,54.0,80.0
19,0.0,133.0,0.0,55.666666666666664,57.0
45,474.0,0.0,412.0,65.0,73.0
9,650.0,163.0,0.0,47.0,48.0
9,0.0,0.0,0.0,67.0,58.0
8,154.0,79.0,0.0,89.0,59.75
28,280.0,86.0,0.0,36.0,24.142857142857142
46,361.0,0.0,510.0,73.5,69.5
13,332.0,23.0,0.0,31.333333333333332,24.666666666666668
5,0.0,0.0,0.0,59.5,43.5
3,0.0,0.0,0.0,82.5,83.33333333333333
4,0.0,0.0,0.0,80.0,59.0
4,540.0,67.0,0.0,47.285714285714285,37.857142857142854
23,721.0,0.0,0.0,44.75,36.714285714285715
11,76.0,0.0,0.0,53.0,74.0
10,0.0,0.0,0.0,52.285714285714285,63.857142857142854
19,0.0,196.0,0.0,73.14285714285714,80.85714285714286
16,275.0,0.0,627.0,54.333333333333336,65.0
5,300.0,55.0,0.0,46.666666666666664,49.0
1,0.0,0.0,0.0,60.4,55.0
5,0.0,0.0,0.0,49.25,60.0
5,197.0,123.0,0.0,54.0,84.28571428571429
46,365.0,0.0,213.0,62.0,78.0
25,0.0,0.0,0.0,36.166666666666664,0.0
2,647.0,55.0,0.0,62.285714285714285,53.714285714285715
6,233.0,0.0,0.0,81.5,71.5
15,615.0,265.0,0.0,68.66666666666667,69.85714285714286
2,0.0,61.0,0.0,77.0,44.857142857142854
12,0.0,0.0,0.0,73.33333333333333,55.666666666666664
8,0.0,0.0,0.0,48.0,100.0
25,0.0,0.0,0.0,59.714285714285715,50.0
13,266.0,167.0,0.0,51.0,58.666666666666664
23,313.0,176.0,0.0,81.85714285714286,84.85714285714286
1,0.0,0.0,0.0,59.0,94.5
9,577.0,109.0,0.0,60.57142857142857,60.285714285714285
24,250.0,120.0,0.0,50.2,52.4
5,391.0,109.0,0.0,43.8,27.857142857142858
27,0.0,238.0,0.0,52.666666666666664,70.33333333333333
1,0.0,0.0,0.0,67.5,71.0
9,0.0,0.0,0.0,60.666666666666664,72.57142857142857
10,0.0,0.0,0.0,52.6,62.8
1,0.0,0.0,0.0,58.75,69.5
13,0.0,0.0,0.0,74.66666666666667,83.33333333333333
14,307.0,0.0,0.0,58.0,72.0
15,658.0,141.0,0.0,52.333333333333336,31.285714285714285
46,544.0,0.0,561.0,53.0,56.2
30,285.0,137.0,208.0,82.5,92.5
13,207.0,212.0,0.0,69.0,28.0
16,0.0,0.0,0.0,64.6,68.28571428571429
12,392.0,118.0,206.0,42.714285714285715,40.285714285714285
23,312.0,0.0,0.0,45.5,45.0
15,331.0,162.0,0.0,50.6,47.6
45,205.0,0.0,155.0,74.0,94.66666666666667
13,0.0,0.0,0.0,43.5,54.0
16,0.0,0.0,0.0,86.0,84.0
0,0.0,0.0,0.0,49.857142857142854,44.714285714285715
18,128.0,114.0,0.0,51.42857142857143,54.714285714285715
16,0.0,0.0,0.0,47.0,65.0
25,311.0,119.0,0.0,70.66666666666667,66.33333333333333
22,0.0,24.0,0.0,52.5,64.0
0,0.0,0.0,0.0,74.0,35.333333333333336
42,405.0,171.0,0.0,32.0,47.6
5,492.0,0.0,0.0,72.33333333333333,92.66666666666667
45,359.0,0.0,481.0,82.66666666666667,77.33333333333333
15,0.0,16.0,0.0,79.28571428571429,86.85714285714286
1,302.0,0.0,0.0,58.5,53.0
2,0.0,0.0,0.0,37.333333333333336,40.666666666666664
3,0.0,53.0,0.0,80.28571428571429,77.28571428571429
3,0.0,0.0,0.0,79.8,73.0
16,0.0,0.0,0.0,58.8,70.4
8,0.0,0.0,0.0,82.33333333333333,43.8
18,0.0,0.0,0.0,47.5,59.5
5,0.0,0.0,0.0,83.0,100.0
1,0.0,0.0,0.0,81.42857142857143,69.28571428571429
8,0.0,0.0,0.0,42.2,70.5
17,0.0,0.0,0.0,82.0,57.0
29,0.0,41.0,0.0,53.0,77.66666666666667
24,380.0,0.0,0.0,42.833333333333336,67.83333333333333
0,0.0,0.0,0.0,32.5,67.5
10,0.0,0.0,0.0,83.4,74.28571428571429
14,279.0,136.0,0.0,68.75,76.75
7,181.0,216.0,0.0,72.0,85.16666666666667
0,0.0,0.0,0.0,86.85714285714286,82.42857142857143
23,0.0,0.0,0.0,67.0,64.0
5,455.0,110.0,0.0,65.28571428571429,42.57142857142857
7,0.0,0.0,0.0,44.6,77.0
19,0.0,81.0,0.0,75.0,64.71428571428571
15,0.0,0.0,0.0,70.4,93.2
8,0.0,0.0,0.0,61.0,88.0
15,0.0,0.0,0.0,48.25,55.25
13,366.0,138.0,0.0,51.333333333333336,27.0
15,575.0,173.0,0.0,67.75,72.25
16,56.0,17.0,135.0,52.5,52.0
22,644.0,31.0,0.0,51.0,36.142857142857146
9,464.0,103.0,0.0,77.0,77.0
6,0.0,0.0,0.0,41.833333333333336,80.5
10,0.0,0.0,0.0,69.5,46.0
22,494.0,100.0,0.0,66.66666666666667,51.833333333333336
16,178.0,83.0,302.0,85.42857142857143,78.28571428571429
8,0.0,0.0,0.0,78.66666666666667,61.42857142857143
3,0.0,0.0,0.0,89.0,100.0
23,283.0,197.0,0.0,60.0,64.57142857142857
3,0.0,99.0,0.0,48.6,57.8
2,0.0,128.0,0.0,48.0,60.714285714285715
2,0.0,0.0,0.0,58.6,75.8
9,517.0,45.0,0.0,28.142857142857142,22.285714285714285
18,0.0,75.0,0.0,59.5,72.0
21,0.0,12.0,0.0,27.0,69.0
5,0.0,0.0,0.0,69.33333333333333,74.33333333333333
39,0.0,0.0,0.0,36.0,21.5
5,372.0,170.0,0.0,82.0,83.5
16,261.0,81.0,596.0,94.0,100.0
6,286.0,113.0,0.0,46.2,51.857142857142854
0,0.0,0.0,0.0,72.28571428571429,61.285714285714285
1,0.0,0.0,0.0,80.0,77.0
16,0.0,0.0,0.0,61.0,33.0
26,0.0,0.0,0.0,45.5,0.0
9,631.0,97.0,0.0,63.0,88.0
12,0.0,0.0,0.0,53.0,57.833333333333336
3,0.0,0.0,0.0,63.166666666666664,70.83333333333333
1,382.0,0.0,0.0,51.666666666666664,43.333333333333336
9,0.0,0.0,0.0,19.0,0.0
1,0.0,0.0,0.0,80.0,67.71428571428571
44,329.0,0.0,0.0,52.0,35.666666666666664
3,290.0,224.0,0.0,45.5,66.16666666666667
12,474.0,214.0,203.0,62.5,61.833333333333336
4,211.0,200.0,0.0,61.0,59.0
4,0.0,0.0,0.0,57.4,46.42857142857143
47,87.0,0.0,0.0,56.0,56.0
14,0.0,0.0,0.0,74.71428571428571,78.85714285714286
8,541.0,83.0,0.0,69.5,67.85714285714286
13,486.0,271.0,0.0,72.28571428571429,46.714285714285715
0,0.0,0.0,0.0,64.0,70.0
11,0.0,0.0,0.0,74.75,8.75
2,0.0,0.0,0.0,34.0,34.0
22,110.0,104.0,0.0,33.75,66.14285714285714
15,359.0,100.0,0.0,59.0,68.8
0,0.0,0.0,0.0,66.14285714285714,79.57142857142857
17,184.0,46.0,0.0,91.0,93.33333333333333
0,0.0,55.0,0.0,74.0,78.2
7,328.0,149.0,0.0,72.42857142857143,67.85714285714286
16,205.0,12.0,0.0,87.5,79.0
16,238.0,112.0,457.0,48.857142857142854,54.142857142857146
8,327.0,275.0,0.0,58.25,75.2
12,0.0,0.0,0.0,59.166666666666664,61.857142857142854
1,318.0,0.0,0.0,49.25,63.5
47,0.0,0.0,0.0,51.666666666666664,58.8
7,389.0,274.0,0.0,71.33333333333333,65.75
29,153.0,0.0,0.0,51.0,33.666666666666664
35,982.0,0.0,0.0,66.0,39.0
17,0.0,0.0,0.0,58.0,77.0
17,353.0,175.0,0.0,77.85714285714286,65.85714285714286
30,0.0,0.0,0.0,52.0,39.0
0,0.0,0.0,0.0,53.0,39.0
13,0.0,0.0,0.0,95.33333333333333,93.33333333333333
7,0.0,0.0,0.0,61.0,64.0
28,0.0,0.0,0.0,58.0,57.0
8,0.0,0.0,0.0,79.0,39.0
1,233.0,22.0,0.0,48.0,32.857142857142854
24,447.0,15.0,0.0,76.66666666666667,83.33333333333333
3,417.0,102.0,0.0,58.57142857142857,46.0
22,0.0,0.0,0.0,42.0,49.0
24,0.0,0.0,0.0,60.0,100.0
14,0.0,0.0,0.0,81.66666666666667,54.285714285714285
45,275.0,0.0,128.0,83.0,80.4
45,358.0,0.0,407.0,53.4,44.4
15,0.0,0.0,0.0,66.0,77.0
27,0.0,0.0,0.0,60.333333333333336,34.0
30,0.0,47.0,0.0,60.0,65.75
26,0.0,92.0,0.0,66.33333333333333,53.333333333333336
12,466.0,127.0,219.0,47.5,37.857142857142854
1,0.0,0.0,0.0,69.0,82.14285714285714
7,370.0,107.0,0.0,45.333333333333336,29.833333333333332
1,0.0,0.0,0.0,64.85714285714286,51.714285714285715
25,0.0,0.0,0.0,55.5,66.5
