week,Load: Practice,Load: S&C,Load: Competition,Sleep,Stress
24,0.0,0.0,0.0,53.5,62.0
4,0.0,148.0,0.0,74.85714285714286,0.0
10,260.0,97.0,0.0,41.166666666666664,44.333333333333336
24,110.0,14.0,464.0,49.0,17.6
4,0.0,0.0,0.0,97.0,5.0
29,0.0,80.0,0.0,57.0,54.0
24,319.0,15.0,346.0,68.14285714285714,28.285714285714285
9,244.0,144.0,0.0,53.2,45.8
10,228.0,153.0,0.0,87.75,0.0
34,279.0,0.0,228.0,78.0,32.0
10,0.0,0.0,0.0,62.0,14.0
0,0.0,68.0,0.0,67.16666666666667,58.333333333333336
12,552.0,165.0,207.0,60.42857142857143,16.714285714285715
2,499.0,0.0,0.0,84.5,5.0
44,874.0,0.0,257.0,70.0,17.0
15,682.0,56.0,0.0,42.8,17.4
14,251.0,199.0,0.0,50.333333333333336,2.3333333333333335
40,0.0,0.0,0.0,51.5,52.42857142857143
6,0.0,0.0,0.0,91.85714285714286,0.0
0,0.0,0.0,0.0,49.0,18.0
5,0.0,0.0,0.0,51.666666666666664,60.0
17,431.0,117.0,0.0,83.5,18.0
5,0.0,0.0,0.0,76.2,24.428571428571427
28,0.0,6.0,0.0,52.0,0.0
21,0.0,29.0,0.0,46.75,60.285714285714285
3,480.0,10.0,0.0,62.0,3.857142857142857
23,476.0,30.0,0.0,55.833333333333336,36.0
5,0.0,0.0,0.0,78.8,26.142857142857142
46,0.0,0.0,0.0,90.0,11.0
13,606.0,114.0,0.0,52.5,25.5
8,507.0,89.0,0.0,50.0,43.142857142857146
15,600.0,72.0,0.0,75.33333333333333,11.666666666666666
10,371.0,56.0,0.0,27.75,25.25
46,506.0,0.0,721.0,71.0,35.0
45,483.0,0.0,205.0,51.0,50.25
1,0.0,0.0,0.0,59.0,57.0
16,56.0,64.0,327.0,78.0,0.0
17,202.0,65.0,0.0,48.666666666666664,20.0
39,0.0,0.0,0.0,57.333333333333336,30.333333333333332
14,469.0,194.0,0.0,65.4,34.2
14,538.0,257.0,0.0,51.333333333333336,31.857142857142858
18,108.0,121.0,0.0,86.25,0.0
1,220.0,0.0,0.0,58.666666666666664,36.166666666666664
4,218.0,114.0,0.0,66.57142857142857,8.571428571428571
2,0.0,0.0,0.0,72.42857142857143,31.285714285714285
2,0.0,0.0,0.0,64.0,28.5
9,336.0,114.0,0.0,44.833333333333336,36.285714285714285
18,228.0,58.0,0.0,80.0,16.714285714285715
23,359.0,27.0,0.0,63.666666666666664,27.0
46,432.0,0.0,723.0,52.0,24.857142857142858
17,0.0,49.0,0.0,64.0,24.833333333333332
2,0.0,0.0,0.0,77.4,25.571428571428573
16,0.0,0.0,479.0,69.33333333333333,13.833333333333334
13,628.0,78.0,0.0,86.0,9.0
19,0.0,154.0,0.0,51.0,51.142857142857146
44,499.0,0.0,0.0,62.0,34.0
9,0.0,0.0,0.0,83.75,15.714285714285714
10,380.0,89.0,0.0,62.0,22.166666666666668
18,164.0,133.0,0.0,41.0,28.6
4,573.0,111.0,0.0,73.0,6.666666666666667
26,0.0,0.0,0.0,59.0,39.0
22,90.0,145.0,0.0,58.5,27.75
4,243.0,222.0,0.0,53.5,41.166666666666664
14,558.0,167.0,0.0,29.571428571428573,38.285714285714285
4,0.0,0.0,0.0,73.66666666666667,40.166666666666664
12,0.0,0.0,0.0,84.0,20.428571428571427
20,0.0,80.0,0.0,57.0,37.57142857142857
44,623.0,0.0,126.0,74.66666666666667,29.666666666666668
8,508.0,99.0,0.0,61.0,33.142857142857146
29,606.0,162.0,0.0,91.5,9.5
14,582.0,184.0,0.0,49.285714285714285,28.428571428571427
41,0.0,0.0,0.0,44.5,41.5
46,464.0,0.0,623.0,80.66666666666667,17.666666666666668
1,0.0,0.0,0.0,46.833333333333336,52.0
10,398.0,95.0,0.0,34.0,54.857142857142854
17,0.0,0.0,0.0,74.0,7.0
5,459.0,109.0,0.0,66.14285714285714,2.4285714285714284
4,0.0,0.0,0.0,69.0,77.0
0,0.0,0.0,0.0,48.666666666666664,53.333333333333336
2,398.0,86.0,0.0,50.714285714285715,54.57142857142857
11,0.0,0.0,0.0,66.75,35.25
7,0.0,0.0,0.0,84.0,19.285714285714285
7,0.0,0.0,0.0,77.0,13.0
45,571.0,0.0,0.0,61.5,31.5
25,0.0,0.0,0.0,69.0,0.0
18,211.0,48.0,0.0,44.25,39.857142857142854
25,680.0,0.0,0.0,58.0,44.0
6,0.0,0.0,0.0,81.33333333333333,50.0
0,0.0,0.0,0.0,62.25,21.0
23,0.0,0.0,0.0,61.5,0.0
45,371.0,0.0,216.0,58.0,7.0
44,0.0,0.0,0.0,29.0,0.0
8,467.0,157.0,0.0,82.8,10.333333333333334
3,672.0,188.0,0.0,58.142857142857146,42.0
46,265.0,0.0,274.0,92.83333333333333,0.0
4,0.0,108.0,0.0,46.42857142857143,59.0
15,0.0,0.0,0.0,82.75,18.714285714285715
13,0.0,0.0,0.0,80.0,26.2
12,0.0,0.0,0.0,47.0,36.0
24,308.0,60.0,0.0,85.33333333333333,8.714285714285714
8,0.0,0.0,0.0,56.0,50.0
27,0.0,0.0,0.0,53.4,35.666666666666664
11,0.0,0.0,0.0,64.5,42.5
24,0.0,0.0,0.0,65.6,28.5
46,0.0,0.0,0.0,64.14285714285714,0.0
2,586.0,175.0,0.0,58.0,7.857142857142857
0,0.0,0.0,0.0,78.33333333333333,11.25
18,0.0,0.0,0.0,81.0,15.0
45,217.0,0.0,202.0,77.0,28.5
2,681.0,94.0,0.0,61.142857142857146,33.142857142857146
11,0.0,125.0,0.0,58.5,40.142857142857146
5,0.0,90.0,0.0,78.42857142857143,0.0
15,0.0,0.0,0.0,58.285714285714285,33.42857142857143
2,438.0,32.0,0.0,48.833333333333336,8.333333333333334
1,0.0,0.0,0.0,85.2,46.6
25,0.0,0.0,0.0,47.666666666666664,59.333333333333336
1,0.0,0.0,0.0,56.142857142857146,42.714285714285715
6,0.0,118.0,0.0,80.25,0.0
29,0.0,0.0,0.0,48.0,0.0
11,0.0,0.0,0.0,53.25,51.57142857142857
25,418.0,0.0,734.0,56.285714285714285,16.428571428571427
11,0.0,0.0,0.0,81.75,18.857142857142858
12,0.0,0.0,0.0,46.0,47.0
40,0.0,0.0,0.0,63.5,42.5
3,0.0,0.0,0.0,60.166666666666664,27.428571428571427
7,0.0,0.0,0.0,69.0,19.5
22,0.0,0.0,0.0,60.0,0.0
6,243.0,124.0,0.0,48.333333333333336,51.5
24,446.0,0.0,492.0,36.6,53.714285714285715
18,0.0,0.0,0.0,63.0,46.0
12,710.0,11.0,195.0,74.75,11.0
11,0.0,67.0,0.0,70.71428571428571,16.428571428571427
19,0.0,30.0,0.0,80.75,32.5
13,633.0,168.0,0.0,54.42857142857143,22.428571428571427
2,0.0,0.0,0.0,85.42857142857143,14.714285714285714
0,0.0,0.0,0.0,62.0,29.0
4,0.0,0.0,0.0,71.0,21.0
19,0.0,54.0,0.0,62.57142857142857,31.285714285714285
9,633.0,152.0,0.0,72.5,0.0
3,0.0,0.0,0.0,68.42857142857143,0.0
3,0.0,0.0,0.0,55.57142857142857,40.285714285714285
28,437.0,125.0,0.0,85.25,10.285714285714286
16,297.0,118.0,358.0,55.5,68.5
25,431.0,112.0,0.0,80.0,20.0
28,363.0,187.0,0.0,76.5,30.5
10,0.0,0.0,0.0,46.0,51.0
12,565.0,189.0,201.0,67.57142857142857,14.857142857142858
23,0.0,0.0,0.0,51.0,52.5
0,0.0,0.0,0.0,69.8,47.57142857142857
27,0.0,0.0,0.0,58.0,51.0
18,0.0,176.0,0.0,77.42857142857143,0.0
16,252.0,65.0,552.0,65.85714285714286,22.285714285714285
2,0.0,0.0,0.0,79.71428571428571,8.714285714285714
17,0.0,0.0,0.0,63.666666666666664,11.428571428571429
45,48.0,0.0,0.0,35.0,0.0
20,0.0,46.0,0.0,48.4,43.0
13,310.0,158.0,0.0,79.66666666666667,0.0
17,205.0,17.0,0.0,41.8,56.142857142857146
44,506.0,0.0,134.0,4.0,60.0
3,0.0,0.0,0.0,88.0,39.0
0,0.0,0.0,0.0,20.0,22.0
4,454.0,36.0,0.0,54.6,5.8
13,0.0,0.0,0.0,68.25,47.25
25,0.0,0.0,0.0,100.0,57.0
45,418.0,0.0,499.0,49.285714285714285,22.142857142857142
44,671.0,0.0,214.0,38.0,49.42857142857143
2,895.0,0.0,0.0,70.75,10.0
7,163.0,184.0,0.0,61.0,29.333333333333332
9,0.0,0.0,0.0,46.25,65.5
4,0.0,0.0,0.0,82.0,34.5
14,608.0,84.0,0.0,86.83333333333333,10.333333333333334
44,633.0,0.0,197.0,57.0,58.0
31,384.0,67.0,0.0,45.333333333333336,48.166666666666664
7,0.0,0.0,0.0,65.75,38.285714285714285
31,0.0,70.0,0.0,54.0,47.0
19,0.0,133.0,0.0,55.666666666666664,26.333333333333332
45,474.0,0.0,412.0,65.0,40.333333333333336
9,650.0,163.0,0.0,47.0,22.428571428571427
9,0.0,0.0,0.0,67.0,52.0
8,154.0,79.0,0.0,89.0,0.0
28,280.0,86.0,0.0,36.0,50.142857142857146
46,361.0,0.0,510.0,73.5,2.5
13,332.0,23.0,0.0,31.333333333333332,27.833333333333332
5,0.0,0.0,0.0,59.5,40.75
3,0.0,0.0,0.0,82.5,54.5
4,0.0,0.0,0.0,80.0,8.0
4,540.0,67.0,0.0,47.285714285714285,26.0
23,721.0,0.0,0.0,44.75,49.857142857142854
11,76.0,0.0,0.0,53.0,22.0
10,0.0,0.0,0.0,52.285714285714285,50.0
19,0.0,196.0,0.0,73.14285714285714,0.0
16,275.0,0.0,627.0,54.333333333333336,39.666666666666664
5,300.0,55.0,0.0,46.666666666666664,9.0
1,0.0,0.0,0.0,60.4,39.0
5,0.0,0.0,0.0,49.25,66.75
5,197.0,123.0,0.0,54.0,32.42857142857143
46,365.0,0.0,213.0,62.0,22.5
25,0.0,0.0,0.0,36.166666666666664,0.0
2,647.0,55.0,0.0,62.285714285714285,28.857142857142858
6,233.0,0.0,0.0,81.5,6.0
15,615.0,265.0,0.0,68.66666666666667,0.0
2,0.0,61.0,0.0,77.0,7.428571428571429
12,0.0,0.0,0.0,73.33333333333333,0.0
8,0.0,0.0,0.0,48.0,0.0
25,0.0,0.0,0.0,59.714285714285715,31.428571428571427
13,266.0,167.0,0.0,51.0,36.666666666666664
23,313.0,176.0,0.0,81.85714285714286,0.0
1,0.0,0.0,0.0,59.0,15.0
9,577.0,109.0,0.0,60.57142857142857,19.0
24,250.0,120.0,0.0,50.2,26.2
5,391.0,109.0,0.0,43.8,49.42857142857143
27,0.0,238.0,0.0,52.666666666666664,18.666666666666668
1,0.0,0.0,0.0,67.5,28.0
9,0.0,0.0,0.0,60.666666666666664,43.285714285714285
10,0.0,0.0,0.0,52.6,56.8
1,0.0,0.0,0.0,58.75,59.25
13,0.0,0.0,0.0,74.66666666666667,10.333333333333334
14,307.0,0.0,0.0,58.0,5.0
15,658.0,141.0,0.0,52.333333333333336,53.0
46,544.0,0.0,561.0,53.0,57.6
30,285.0,137.0,208.0,82.5,21.5
13,207.0,212.0,0.0,69.0,30.0
16,0.0,0.0,0.0,64.6,38.857142857142854
12,392.0,118.0,206.0,42.714285714285715,23.571428571428573
23,312.0,0.0,0.0,45.5,33.0
15,331.0,162.0,0.0,50.6,40.6
45,205.0,0.0,155.0,74.0,4.333333333333333
13,0.0,0.0,0.0,43.5,59.5
16,0.0,0.0,0.0,86.0,6.0
0,0.0,0.0,0.0,49.857142857142854,31.714285714285715
18,128.0,114.0,0.0,51.42857142857143,24.857142857142858
16,0.0,0.0,0.0,47.0,54.0
25,311.0,119.0,0.0,70.66666666666667,0.0
22,0.0,24.0,0.0,52.5,50.25
0,0.0,0.0,0.0,74.0,16.333333333333332
42,405.0,171.0,0.0,32.0,60.8
5,492.0,0.0,0.0,72.33333333333333,6.0
45,359.0,0.0,481.0,82.66666666666667,53.666666666666664
15,0.0,16.0,0.0,79.28571428571429,0.0
1,302.0,0.0,0.0,58.5,30.25
2,0.0,0.0,0.0,37.333333333333336,70.0
3,0.0,53.0,0.0,80.28571428571429,4.142857142857143
3,0.0,0.0,0.0,79.8,30.142857142857142
16,0.0,0.0,0.0,58.8,55.8
8,0.0,0.0,0.0,82.33333333333333,0.0
18,0.0,0.0,0.0,47.5,63.5
5,0.0,0.0,0.0,83.0,9.0
1,0.0,0.0,0.0,81.42857142857143,3.2857142857142856
8,0.0,0.0,0.0,42.2,54.0
17,0.0,0.0,0.0,82.0,39.0
29,0.0,41.0,0.0,53.0,21.666666666666668
24,380.0,0.0,0.0,42.833333333333336,48.666666666666664
0,0.0,0.0,0.0,32.5,46.5
10,0.0,0.0,0.0,83.4,19.428571428571427
14,279.0,136.0,0.0,68.75,16.75
7,181.0,216.0,0.0,72.0,0.16666666666666666
0,0.0,0.0,0.0,86.85714285714286,0.0
23,0.0,0.0,0.0,67.0,66.0
5,455.0,110.0,0.0,65.28571428571429,29.142857142857142
7,0.0,0.0,0.0,44.6,68.8
19,0.0,81.0,0.0,75.0,34.285714285714285
15,0.0,0.0,0.0,70.4,75.2
8,0.0,0.0,0.0,61.0,12.0
15,0.0,0.0,0.0,48.25,55.0
13,366.0,138.0,0.0,51.333333333333336,38.0
15,575.0,173.0,0.0,67.75,35.0
16,56.0,17.0,135.0,52.5,37.0
22,644.0,31.0,0.0,51.0,57.714285714285715
9,464.0,103.0,0.0,77.0,23.0
6,0.0,0.0,0.0,41.833333333333336,52.833333333333336
10,0.0,0.0,0.0,69.5,12.0
22,494.0,100.0,0.0,66.66666666666667,42.5
16,178.0,83.0,302.0,85.42857142857143,0.0
8,0.0,0.0,0.0,78.66666666666667,41.714285714285715
3,0.0,0.0,0.0,89.0,18.0
23,283.0,197.0,0.0,60.0,29.142857142857142
3,0.0,99.0,0.0,48.6,57.0
2,0.0,128.0,0.0,48.0,57.42857142857143
2,0.0,0.0,0.0,58.6,34.6
9,517.0,45.0,0.0,28.142857142857142,29.142857142857142
18,0.0,75.0,0.0,59.5,11.0
21,0.0,12.0,0.0,27.0,61.0
5,0.0,0.0,0.0,69.33333333333333,48.0
39,0.0,0.0,0.0,36.0,46.75
5,372.0,170.0,0.0,82.0,12.5
16,261.0,81.0,596.0,94.0,0.0
6,286.0,113.0,0.0,46.2,45.714285714285715
0,0.0,0.0,0.0,72.28571428571429,16.285714285714285
1,0.0,0.0,0.0,80.0,13.5
16,0.0,0.0,0.0,61.0,27.0
26,0.0,0.0,0.0,45.5,0.0
9,631.0,97.0,0.0,63.0,8.4
12,0.0,0.0,0.0,53.0,48.333333333333336
3,0.0,0.0,0.0,63.166666666666664,56.833333333333336
1,382.0,0.0,0.0,51.666666666666664,33.166666666666664
9,0.0,0.0,0.0,19.0,52.0
1,0.0,0.0,0.0,80.0,36.714285714285715
44,329.0,0.0,0.0,52.0,19.333333333333332
3,290.0,224.0,0.0,45.5,36.666666666666664
12,474.0,214.0,203.0,62.5,25.666666666666668
4,211.0,200.0,0.0,61.0,50.0
4,0.0,0.0,0.0,57.4,50.0
47,87.0,0.0,0.0,56.0,17.0
14,0.0,0.0,0.0,74.71428571428571,44.42857142857143
8,541.0,83.0,0.0,69.5,0.0
13,486.0,271.0,0.0,72.28571428571429,5.714285714285714
0,0.0,0.0,0.0,64.0,51.0
11,0.0,0.0,0.0,74.75,0.0
2,0.0,0.0,0.0,34.0,65.5
22,110.0,104.0,0.0,33.75,16.428571428571427
15,359.0,100.0,0.0,59.0,27.2
0,0.0,0.0,0.0,66.14285714285714,28.285714285714285
17,184.0,46.0,0.0,91.0,0.0
0,0.0,55.0,0.0,74.0,31.0
7,328.0,149.0,0.0,72.42857142857143,10.142857142857142
16,205.0,12.0,0.0,87.5,32.857142857142854
16,238.0,112.0,457.0,48.857142857142854,16.285714285714285
8,327.0,275.0,0.0,58.25,46.2
12,0.0,0.0,0.0,59.166666666666664,46.57142857142857
1,318.0,0.0,0.0,49.25,15.0
47,0.0,0.0,0.0,51.666666666666664,0.0
7,389.0,274.0,0.0,71.33333333333333,14.75
29,153.0,0.0,0.0,51.0,36.5
35,982.0,0.0,0.0,66.0,44.0
17,0.0,0.0,0.0,58.0,51.0
17,353.0,175.0,0.0,77.85714285714286,5.285714285714286
30,0.0,0.0,0.0,52.0,0.0
0,0.0,0.0,0.0,53.0,23.0
13,0.0,0.0,0.0,95.33333333333333,40.333333333333336
7,0.0,0.0,0.0,61.0,51.0
28,0.0,0.0,0.0,58.0,42.2
8,0.0,0.0,0.0,79.0,59.0
1,233.0,22.0,0.0,48.0,48.42857142857143
24,447.0,15.0,0.0,76.66666666666667,23.833333333333332
3,417.0,102.0,0.0,58.57142857142857,16.571428571428573
22,0.0,0.0,0.0,42.0,61.0
24,0.0,0.0,0.0,60.0,0.0
14,0.0,0.0,0.0,81.66666666666667,0.0
45,275.0,0.0,128.0,83.0,0.0
45,358.0,0.0,407.0,53.4,59.2
15,0.0,0.0,0.0,66.0,42.0
27,0.0,0.0,0.0,60.333333333333336,0.0
30,0.0,47.0,0.0,60.0,42.25
26,0.0,92.0,0.0,66.33333333333333,14.333333333333334
12,466.0,127.0,219.0,47.5,45.42857142857143
1,0.0,0.0,0.0,69.0,9.571428571428571
7,370.0,107.0,0.0,45.333333333333336,30.5
1,0.0,0.0,0.0,64.85714285714286,33.42857142857143
25,0.0,0.0,0.0,55.5,62.5
