week,Load: Practice,Load: S&C,Load: Competition,Sleep,Stress_delta
24,0.0,0.0,0.0,53.5,-4.0
4,0.0,148.0,0.0,74.85714285714286,-4.142857142857143
10,260.0,97.0,0.0,41.166666666666664,-1.4666666666666615
24,110.0,14.0,464.0,49.0,-9.399999999999999
4,0.0,0.0,0.0,97.0,-13.0
24,319.0,15.0,346.0,68.14285714285714,-7.714285714285715
9,244.0,144.0,0.0,53.2,-0.4000000000000057
10,228.0,153.0,0.0,87.75,0.0
10,0.0,0.0,0.0,62.0,6.5
12,552.0,165.0,207.0,60.42857142857143,-7.285714285714285
2,499.0,0.0,0.0,84.5,-6.75
15,682.0,56.0,0.0,42.8,-20.885714285714286
40,0.0,0.0,0.0,51.5,5.678571428571431
6,0.0,0.0,0.0,91.85714285714286,0.0
5,0.0,0.0,0.0,51.666666666666664,12.25
17,431.0,117.0,0.0,83.5,-14.857142857142854
5,0.0,0.0,0.0,76.2,-25.571428571428573
28,0.0,6.0,0.0,52.0,0.0
21,0.0,29.0,0.0,46.75,9.42857142857143
3,480.0,10.0,0.0,62.0,-4.476190476190476
23,476.0,30.0,0.0,55.833333333333336,-6.5
5,0.0,0.0,0.0,78.8,-8.357142857142858
13,606.0,114.0,0.0,52.5,-0.16666666666666785
8,507.0,89.0,0.0,50.0,-19.0
15,600.0,72.0,0.0,75.33333333333333,1.3333333333333321
10,371.0,56.0,0.0,27.75,-3.8928571428571423
46,506.0,0.0,721.0,71.0,-4.666666666666664
45,483.0,0.0,205.0,51.0,0.8214285714285694
1,0.0,0.0,0.0,59.0,25.0
16,56.0,64.0,327.0,78.0,0.0
17,202.0,65.0,0.0,48.666666666666664,3.7142857142857153
39,0.0,0.0,0.0,57.333333333333336,-19.166666666666668
14,469.0,194.0,0.0,65.4,4.200000000000003
14,538.0,257.0,0.0,51.333333333333336,-6.142857142857142
18,108.0,121.0,0.0,86.25,0.0
1,220.0,0.0,0.0,58.666666666666664,-22.16666666666667
4,218.0,114.0,0.0,66.57142857142857,-8.000000000000002
2,0.0,0.0,0.0,72.42857142857143,6.4523809523809526
2,0.0,0.0,0.0,64.0,-4.928571428571431
9,336.0,114.0,0.0,44.833333333333336,-6.857142857142861
18,228.0,58.0,0.0,80.0,-1.2857142857142847
23,359.0,27.0,0.0,63.666666666666664,5.0
46,432.0,0.0,723.0,52.0,2.7142857142857153
17,0.0,49.0,0.0,64.0,2.5476190476190474
2,0.0,0.0,0.0,77.4,-11.142857142857142
16,0.0,0.0,479.0,69.33333333333333,2.166666666666668
13,628.0,78.0,0.0,86.0,-2.0
19,0.0,154.0,0.0,51.0,11.285714285714292
9,0.0,0.0,0.0,83.75,-9.428571428571429
10,380.0,89.0,0.0,62.0,3.166666666666668
18,164.0,133.0,0.0,41.0,9.350000000000001
4,573.0,111.0,0.0,73.0,-4.333333333333333
26,0.0,0.0,0.0,59.0,15.166666666666668
4,243.0,222.0,0.0,53.5,4.5
14,558.0,167.0,0.0,29.571428571428573,10.452380952380953
4,0.0,0.0,0.0,73.66666666666667,-14.333333333333336
12,0.0,0.0,0.0,84.0,1.5714285714285694
20,0.0,80.0,0.0,57.0,3.2857142857142847
8,508.0,99.0,0.0,61.0,-10.0
29,606.0,162.0,0.0,91.5,-21.0
14,582.0,184.0,0.0,49.285714285714285,6.0
41,0.0,0.0,0.0,44.5,-10.92857142857143
46,464.0,0.0,623.0,80.66666666666667,-6.333333333333332
1,0.0,0.0,0.0,46.833333333333336,-1.3333333333333357
10,398.0,95.0,0.0,34.0,18.57142857142857
17,0.0,0.0,0.0,74.0,-6.833333333333334
5,459.0,109.0,0.0,66.14285714285714,-6.142857142857142
4,0.0,0.0,0.0,69.0,36.714285714285715
2,398.0,86.0,0.0,50.714285714285715,21.404761904761905
11,0.0,0.0,0.0,66.75,13.083333333333332
7,0.0,0.0,0.0,84.0,-7.428571428571431
45,571.0,0.0,0.0,61.5,-2.5
25,0.0,0.0,0.0,69.0,0.0
18,211.0,48.0,0.0,44.25,-16.285714285714292
6,0.0,0.0,0.0,81.33333333333333,9.25
23,0.0,0.0,0.0,61.5,0.0
45,371.0,0.0,216.0,58.0,-12.333333333333332
8,467.0,157.0,0.0,82.8,0.7333333333333343
3,672.0,188.0,0.0,58.142857142857146,8.857142857142854
46,265.0,0.0,274.0,92.83333333333333,0.0
4,0.0,108.0,0.0,46.42857142857143,2.0
15,0.0,0.0,0.0,82.75,2.571428571428573
13,0.0,0.0,0.0,80.0,5.771428571428572
24,308.0,60.0,0.0,85.33333333333333,8.714285714285714
8,0.0,0.0,0.0,56.0,4.0
27,0.0,0.0,0.0,53.4,-2.0
11,0.0,0.0,0.0,64.5,-8.5
46,0.0,0.0,0.0,64.14285714285714,0.0
2,586.0,175.0,0.0,58.0,-1.7142857142857144
18,0.0,0.0,0.0,81.0,8.0
45,217.0,0.0,202.0,77.0,-1.1666666666666679
2,681.0,94.0,0.0,61.142857142857146,-3.0238095238095184
11,0.0,125.0,0.0,58.5,-14.714285714285708
5,0.0,90.0,0.0,78.42857142857143,0.0
15,0.0,0.0,0.0,58.285714285714285,-11.904761904761905
2,438.0,32.0,0.0,48.833333333333336,-6.666666666666666
1,0.0,0.0,0.0,85.2,16.1
1,0.0,0.0,0.0,56.142857142857146,14.42857142857143
6,0.0,118.0,0.0,80.25,0.0
29,0.0,0.0,0.0,48.0,0.0
11,0.0,0.0,0.0,53.25,3.7142857142857153
25,418.0,0.0,734.0,56.285714285714285,-1.1714285714285744
11,0.0,0.0,0.0,81.75,-0.5714285714285694
12,0.0,0.0,0.0,46.0,4.0
40,0.0,0.0,0.0,63.5,12.166666666666668
3,0.0,0.0,0.0,60.166666666666664,-3.8571428571428577
7,0.0,0.0,0.0,69.0,19.5
6,243.0,124.0,0.0,48.333333333333336,19.07142857142857
24,446.0,0.0,492.0,36.6,3.857142857142861
18,0.0,0.0,0.0,63.0,7.0
12,710.0,11.0,195.0,74.75,-11.0
11,0.0,67.0,0.0,70.71428571428571,16.428571428571427
19,0.0,30.0,0.0,80.75,15.785714285714285
13,633.0,168.0,0.0,54.42857142857143,5.714285714285712
2,0.0,0.0,0.0,85.42857142857143,-0.2857142857142865
4,0.0,0.0,0.0,71.0,0.0
19,0.0,54.0,0.0,62.57142857142857,6.428571428571427
9,633.0,152.0,0.0,72.5,0.0
3,0.0,0.0,0.0,68.42857142857143,-8.714285714285714
3,0.0,0.0,0.0,55.57142857142857,5.685714285714283
28,437.0,125.0,0.0,85.25,-5.7142857142857135
16,297.0,118.0,358.0,55.5,0.5
25,431.0,112.0,0.0,80.0,-3.833333333333332
12,565.0,189.0,201.0,67.57142857142857,-1.5714285714285694
23,0.0,0.0,0.0,51.0,-8.5
27,0.0,0.0,0.0,58.0,11.0
18,0.0,176.0,0.0,77.42857142857143,-11.428571428571429
16,252.0,65.0,552.0,65.85714285714286,0.2857142857142847
2,0.0,0.0,0.0,79.71428571428571,6.142857142857142
17,0.0,0.0,0.0,63.666666666666664,11.428571428571429
45,48.0,0.0,0.0,35.0,-60.0
13,310.0,158.0,0.0,79.66666666666667,0.0
17,205.0,17.0,0.0,41.8,-0.8571428571428541
3,0.0,0.0,0.0,88.0,-26.5
4,454.0,36.0,0.0,54.6,1.9428571428571426
13,0.0,0.0,0.0,68.25,11.25
45,418.0,0.0,499.0,49.285714285714285,5.142857142857142
44,671.0,0.0,214.0,38.0,-4.571428571428569
2,895.0,0.0,0.0,70.75,-1.5
7,163.0,184.0,0.0,61.0,-22.166666666666668
9,0.0,0.0,0.0,46.25,11.5
4,0.0,0.0,0.0,82.0,4.357142857142858
14,608.0,84.0,0.0,86.83333333333333,1.333333333333334
31,384.0,67.0,0.0,45.333333333333336,7.5
7,0.0,0.0,0.0,65.75,12.714285714285712
31,0.0,70.0,0.0,54.0,1.0
19,0.0,133.0,0.0,55.666666666666664,-2.2666666666666693
9,650.0,163.0,0.0,47.0,4.0
9,0.0,0.0,0.0,67.0,2.0
8,154.0,79.0,0.0,89.0,-0.16666666666666666
28,280.0,86.0,0.0,36.0,-0.8571428571428541
46,361.0,0.0,510.0,73.5,-1.833333333333333
13,332.0,23.0,0.0,31.333333333333332,4.261904761904759
5,0.0,0.0,0.0,59.5,19.75
3,0.0,0.0,0.0,82.5,-15.5
4,0.0,0.0,0.0,80.0,7.5
4,540.0,67.0,0.0,47.285714285714285,-4.285714285714285
23,721.0,0.0,0.0,44.75,-7.857142857142861
11,76.0,0.0,0.0,53.0,17.0
10,0.0,0.0,0.0,52.285714285714285,-2.0
19,0.0,196.0,0.0,73.14285714285714,0.0
16,275.0,0.0,627.0,54.333333333333336,4.666666666666664
5,300.0,55.0,0.0,46.666666666666664,3.2
1,0.0,0.0,0.0,60.4,21.0
5,0.0,0.0,0.0,49.25,7.75
5,197.0,123.0,0.0,54.0,-8.738095238095234
46,365.0,0.0,213.0,62.0,-9.0
25,0.0,0.0,0.0,36.166666666666664,0.0
2,647.0,55.0,0.0,62.285714285714285,-8.714285714285712
15,615.0,265.0,0.0,68.66666666666667,-5.571428571428571
2,0.0,61.0,0.0,77.0,4.142857142857143
12,0.0,0.0,0.0,73.33333333333333,0.0
8,0.0,0.0,0.0,48.0,-4.0
25,0.0,0.0,0.0,59.714285714285715,2.928571428571427
13,266.0,167.0,0.0,51.0,9.666666666666664
23,313.0,176.0,0.0,81.85714285714286,-16.428571428571427
1,0.0,0.0,0.0,59.0,4.666666666666666
9,577.0,109.0,0.0,60.57142857142857,-14.142857142857146
24,250.0,120.0,0.0,50.2,-2.942857142857143
5,391.0,109.0,0.0,43.8,7.428571428571431
27,0.0,238.0,0.0,52.666666666666664,4.333333333333334
1,0.0,0.0,0.0,67.5,-23.0
9,0.0,0.0,0.0,60.666666666666664,1.5714285714285694
10,0.0,0.0,0.0,52.6,-8.700000000000003
1,0.0,0.0,0.0,58.75,12.75
13,0.0,0.0,0.0,74.66666666666667,10.333333333333334
15,658.0,141.0,0.0,52.333333333333336,21.142857142857142
46,544.0,0.0,561.0,53.0,-1.6000000000000014
30,285.0,137.0,208.0,82.5,12.0
16,0.0,0.0,0.0,64.6,5.4285714285714235
15,331.0,162.0,0.0,50.6,38.266666666666666
18,128.0,114.0,0.0,51.42857142857143,0.0238095238095255
16,0.0,0.0,0.0,47.0,12.0
22,0.0,24.0,0.0,52.5,-10.75
42,405.0,171.0,0.0,32.0,19.299999999999997
5,492.0,0.0,0.0,72.33333333333333,-0.666666666666667
15,0.0,16.0,0.0,79.28571428571429,0.0
1,302.0,0.0,0.0,58.5,8.25
2,0.0,0.0,0.0,37.333333333333336,23.4
3,0.0,53.0,0.0,80.28571428571429,-3.2857142857142856
3,0.0,0.0,0.0,79.8,4.571428571428569
16,0.0,0.0,0.0,58.8,0.7999999999999972
8,0.0,0.0,0.0,82.33333333333333,-19.5
18,0.0,0.0,0.0,47.5,12.5
5,0.0,0.0,0.0,83.0,4.0
1,0.0,0.0,0.0,81.42857142857143,-9.857142857142858
8,0.0,0.0,0.0,42.2,-14.799999999999997
17,0.0,0.0,0.0,82.0,-15.0
29,0.0,41.0,0.0,53.0,-20.533333333333335
24,380.0,0.0,0.0,42.833333333333336,3.2666666666666657
10,0.0,0.0,0.0,83.4,3.7142857142857135
14,279.0,136.0,0.0,68.75,-19.916666666666664
7,181.0,216.0,0.0,72.0,0.16666666666666666
5,455.0,110.0,0.0,65.28571428571429,3.1428571428571423
7,0.0,0.0,0.0,44.6,15.966666666666661
19,0.0,81.0,0.0,75.0,23.285714285714285
15,0.0,0.0,0.0,70.4,30.771428571428572
8,0.0,0.0,0.0,61.0,-1.0
15,0.0,0.0,0.0,48.25,-7.0
13,366.0,138.0,0.0,51.333333333333336,-7.428571428571431
15,575.0,173.0,0.0,67.75,0.7999999999999972
16,56.0,17.0,135.0,52.5,-3.6000000000000014
22,644.0,31.0,0.0,51.0,-2.5714285714285694
6,0.0,0.0,0.0,41.833333333333336,-13.916666666666664
10,0.0,0.0,0.0,69.5,-11.0
22,494.0,100.0,0.0,66.66666666666667,17.0
16,178.0,83.0,302.0,85.42857142857143,0.0
8,0.0,0.0,0.0,78.66666666666667,3.4285714285714306
3,0.0,0.0,0.0,89.0,3.2857142857142865
23,283.0,197.0,0.0,60.0,1.3928571428571423
3,0.0,99.0,0.0,48.6,-0.4285714285714306
2,0.0,128.0,0.0,48.0,5.428571428571431
2,0.0,0.0,0.0,58.6,6.600000000000001
9,517.0,45.0,0.0,28.142857142857142,-4.190476190476193
18,0.0,75.0,0.0,59.5,5.714285714285714
21,0.0,12.0,0.0,27.0,18.0
5,0.0,0.0,0.0,69.33333333333333,7.833333333333336
39,0.0,0.0,0.0,36.0,-10.583333333333336
5,372.0,170.0,0.0,82.0,-10.0
16,261.0,81.0,596.0,94.0,0.0
6,286.0,113.0,0.0,46.2,-3.7142857142857153
1,0.0,0.0,0.0,80.0,2.25
26,0.0,0.0,0.0,45.5,0.0
9,631.0,97.0,0.0,63.0,-1.9333333333333336
12,0.0,0.0,0.0,53.0,-3.5238095238095184
3,0.0,0.0,0.0,63.166666666666664,11.0
1,382.0,0.0,0.0,51.666666666666664,10.166666666666664
9,0.0,0.0,0.0,19.0,52.0
1,0.0,0.0,0.0,80.0,-10.857142857142854
3,290.0,224.0,0.0,45.5,-2.4761904761904816
12,474.0,214.0,203.0,62.5,-9.583333333333332
4,211.0,200.0,0.0,61.0,-14.714285714285708
4,0.0,0.0,0.0,57.4,22.571428571428573
47,87.0,0.0,0.0,56.0,-7.857142857142858
14,0.0,0.0,0.0,74.71428571428571,4.095238095238095
8,541.0,83.0,0.0,69.5,-10.142857142857142
13,486.0,271.0,0.0,72.28571428571429,-9.142857142857142
11,0.0,0.0,0.0,74.75,0.0
2,0.0,0.0,0.0,34.0,8.5
22,110.0,104.0,0.0,33.75,-27.40476190476191
15,359.0,100.0,0.0,59.0,10.45
17,184.0,46.0,0.0,91.0,0.0
7,328.0,149.0,0.0,72.42857142857143,7.428571428571428
16,205.0,12.0,0.0,87.5,14.142857142857139
16,238.0,112.0,457.0,48.857142857142854,-9.714285714285715
8,327.0,275.0,0.0,58.25,16.86666666666667
12,0.0,0.0,0.0,59.166666666666664,-5.0
1,318.0,0.0,0.0,49.25,-27.0
47,0.0,0.0,0.0,51.666666666666664,0.0
7,389.0,274.0,0.0,71.33333333333333,-4.25
29,153.0,0.0,0.0,51.0,-13.642857142857146
35,982.0,0.0,0.0,66.0,-12.5
17,0.0,0.0,0.0,58.0,-4.799999999999997
17,353.0,175.0,0.0,77.85714285714286,5.285714285714286
30,0.0,0.0,0.0,52.0,0.0
7,0.0,0.0,0.0,61.0,1.0
28,0.0,0.0,0.0,58.0,6.5333333333333385
8,0.0,0.0,0.0,79.0,8.0
1,233.0,22.0,0.0,48.0,0.1428571428571459
24,447.0,15.0,0.0,76.66666666666667,-7.416666666666668
3,417.0,102.0,0.0,58.57142857142857,8.714285714285715
24,0.0,0.0,0.0,60.0,0.0
14,0.0,0.0,0.0,81.66666666666667,-10.333333333333334
45,275.0,0.0,128.0,83.0,0.0
45,358.0,0.0,407.0,53.4,1.2000000000000028
15,0.0,0.0,0.0,66.0,-11.833333333333336
27,0.0,0.0,0.0,60.333333333333336,0.0
30,0.0,47.0,0.0,60.0,20.583333333333332
26,0.0,92.0,0.0,66.33333333333333,-8.666666666666666
12,466.0,127.0,219.0,47.5,5.285714285714285
1,0.0,0.0,0.0,69.0,-6.7142857142857135
7,370.0,107.0,0.0,45.333333333333336,1.0
1,0.0,0.0,0.0,64.85714285714286,12.42857142857143
25,0.0,0.0,0.0,55.5,0.5
